,MoviesN,AvgPop,AvgIMDB,Score
Stan Lee,8,0.2579236352916147,0.7623456790123455,0.6069296063761878
Gino Corrado,6,0.027834336639313978,0.8497942386831273,0.574598684100583
Joseph Oliveira,5,0.16321123235932644,0.8617283950617285,0.5744322896332376
Andy Serkis,10,0.11757549031300057,0.7666666666666666,0.5714182477656407
Philip Ettington,15,0.05337865411670437,0.7728395061728396,0.556997828243062
Ian Holm,9,0.059085520045894714,0.7722908093278463,0.5569486847785745
Bess Flowers,9,0.027334866584596332,0.7777777777777777,0.5512784218317586
Jed Brophy,6,0.06392809665188955,0.7921810699588475,0.5464967089551953
Hugo Weaving,13,0.04854729016267591,0.7549857549857549,0.543029562034856
Michael Kelly,6,0.12760219800305939,0.7592592592592592,0.5427406738475318
Ian McKellen,14,0.1108339281600073,0.7248677248677245,0.5406485561049926
Helena Bonham Carter,9,0.06254090267604946,0.7462277091906719,0.5397836772713199
Scarlett Johansson,14,0.06019449166958405,0.7451499118165782,0.5396542726282884
Tom Hardy,8,0.05557314509053621,0.7515432098765431,0.5391196309412921
Daniel Day-Lewis,7,0.03324890426167569,0.7689594356261021,0.5383854035818044
Orlando Bloom,9,0.07686103719436262,0.736625514403292,0.5373641786132133
Mark Margolis,9,0.03637879991831323,0.7517146776406033,0.5357858340216083
Christian Bale,19,0.05915047731529572,0.7387914230019491,0.5348990791009918
Cate Blanchett,17,0.04537754586278323,0.7429193899782134,0.5336563929929674
John Ratzenberger,13,0.04919301284122044,0.7407407407407405,0.5332522127578795
Edward Norton,11,0.059399333728340165,0.7340067340067338,0.5314462335731124
John Wayne,9,0.024677558402478008,0.7503429355281206,0.5313262961772584
Barbara Hershey,8,0.03276408353829932,0.7499999999999999,0.5312496927882023
Gregg Henry,6,0.15918349476771634,0.728395061728395,0.5311854264952589
Cillian Murphy,11,0.07884588337634829,0.7239057239057237,0.530209906138458
Michael Rooker,9,0.11190431258622213,0.7105624142661179,0.5296521074479367
Gregory Peck,6,0.021513715167191357,0.7839506172839504,0.5288877748438449
Jake Gyllenhaal,8,0.04249135926514151,0.7422839506172839,0.5287832596342221
Leonardo DiCaprio,9,0.038300697268272885,0.7407407407407405,0.5286982158456731
Sean Astin,6,0.05574897463509443,0.7674897119341563,0.5276950987838971
Enzo Cilenti,6,0.06922540599405237,0.7613168724279833,0.5274302276924042
Marcia Gay Harden,8,0.03761909748128747,0.7407407407407406,0.5262583469135746
Burt Lancaster,8,0.023087751517435764,0.7469135802469135,0.5262201878922037
Viggo Mortensen,11,0.04564504185096594,0.7317620650953983,0.5257505884480466
Peter Mullan,6,0.03926327226605511,0.7716049382716048,0.5257279834166747
Chris Mulkey,7,0.06962036571020483,0.7336860670194003,0.5248533325186808
