name,MoviesN,AvgPop,AvgIMDB,Score
Syncopy,6,0.12359669606772833,0.8539094650205761,0.6047089485696266
DC Entertainment,7,0.24573373190328557,0.7407407407407406,0.5815865095971631
WingNut Films,9,0.06992341217536631,0.8024691358024689,0.5812646078025285
DC Comics,7,0.10562764092472673,0.7742504409171074,0.5633455669456474
Marvel Studios,8,0.1745952356112851,0.7345679012345677,0.5627840921626626
The Criterion Collection,9,0.027017180699978886,0.7805212620027433,0.5530990421572546
Pixar Animation Studios,8,0.06039941089145747,0.7592592592592592,0.5459229051484418
Atlas Entertainment,6,0.2069746746599545,0.6975308641975307,0.5242625137228311
Working Title Films,30,0.06042793620467233,0.713991769547325,0.5179226195435558
Appian Way,9,0.044067080925993624,0.718792866941015,0.51509833002975
A24,7,0.036488346820808544,0.7336860670194001,0.5150925026863256
Film4,18,0.03259510508887162,0.7208504801097394,0.5143737102553674
CinéCinéma,6,0.0330027510512155,0.7551440329218105,0.5129627374795701
TSG Entertainment,16,0.12813240324274588,0.6774691358024689,0.5126669572383525
Jerry Bruckheimer Films,7,0.08149836436419738,0.7089947089947088,0.5113795622090553
Channel Four Films,9,0.02719430773450029,0.7201646090534978,0.5110068592930345
The Saul Zaentz Company,5,0.0531739358747104,0.8049382716049382,0.510341728510446
Wild Bunch,11,0.03126676483755151,0.7149270482603814,0.5096579920241966
RKO Radio Pictures,6,0.022772053860311406,0.7530864197530863,0.508667067899272
UK Film Council,11,0.029312862128585013,0.7138047138047139,0.5082866471275022
Focus Features,21,0.03339656883529268,0.7078189300411523,0.5054922139807582
France 2 Cinéma,15,0.025489993538085134,0.7111111111111109,0.5054216704211321
Gaumont,12,0.03937489121536638,0.7026748971193413,0.5036227433640565
Arte France Cinéma,8,0.02441499845923466,0.7114197530864197,0.5019363064683636
United Artists,44,0.030278272198089574,0.7034231200897862,0.5014796657222772
Malpaso Productions,10,0.02789331268572934,0.704938271604938,0.5013675958603969
