,MoviesN,AvgPop,AvgIMDB,Score
Samuel L. Jackson,30,0.049897917057973404,0.6732510288065845,0.48624509528108717
Robert De Niro,30,0.03132170907187045,0.6839506172839503,0.4881619448194088
Morgan Freeman,27,0.05970503872963815,0.6739826245999085,0.48969934882034055
J.K. Simmons,25,0.04202422763075491,0.6755555555555555,0.48549615704268767
Liam Neeson,25,0.0412179038638596,0.6607407407407407,0.474883889545209
Bruce Willis,25,0.04004458475481085,0.6197530864197529,0.4458405357959045
Susan Sarandon,25,0.029707992887922724,0.6459259259259258,0.46106054588591344
John Turturro,24,0.0315159601308874,0.6568930041152264,0.4692798905640903
Bruce McGill,24,0.028778109660963423,0.6594650205761315,0.47025894694500436
Willem Dafoe,23,0.03372403915168502,0.6596886741814277,0.47189928269984793
Forest Whitaker,23,0.025193143706973415,0.6398282340311324,0.4554377059951576
Nicolas Cage,22,0.036477628896080666,0.6313131313131312,0.45286247805071966
Owen Wilson,22,0.032511847573047946,0.6335578002244667,0.4532440118896071
Bill Murray,22,0.0317624919533891,0.7166105499438831,0.5111561296828311
Sylvester Stallone,21,0.0657237299277041,0.6266901822457376,0.45840023956890114
Sigourney Weaver,21,0.04701267198932241,0.681951793062904,0.49147004925575055
Jason Statham,21,0.04173552992850994,0.6613756613756612,0.47548361469990996
John Goodman,21,0.04008392365419547,0.6366843033509698,0.4577041824711121
Mel Gibson,21,0.03480156270602096,0.6778365667254552,0.48492605813421086
Keith David,21,0.027824137744479636,0.6360964138741916,0.4536147241267349
Michael Caine,20,0.05468142118699639,0.6888888888888889,0.4986266279354892
Frank Welker,20,0.04198112021295655,0.6216049382716049,0.44771777431877335
Matt Damon,20,0.04011293884110232,0.7006172839506172,0.5024659596159848
George Clooney,20,0.039761737361973144,0.6796296296296296,0.4876692417601297
Ed Harris,20,0.03959566984469523,0.7092592592592591,0.5083601613890958
Robert Duvall,20,0.03630183684614071,0.6975308641975306,0.49916213532711207
Richard Jenkins,20,0.0331898175696098,0.661111111111111,0.4727347034777382
Dennis Quaid,20,0.025770111482008647,0.6395061728395062,0.45538533557958755
Christian Bale,19,0.059150477315295734,0.7387914230019491,0.5348990791009918
John C. Reilly,19,0.042405784818768895,0.6900584795321636,0.4957626153274126
Jim Broadbent,19,0.03568710553395682,0.6770630279402211,0.4846501966781472
Kevin Bacon,19,0.03379925376688949,0.6985055230669265,0.4990935861113314
Alec Baldwin,19,0.03362422671859478,0.6341780376868094,0.4540118433040428
James Franco,19,0.03291871178156149,0.6315789473684208,0.45198082582862176
Denzel Washington,19,0.032098744602521316,0.6920077972709551,0.49403502587410697
William H. Macy,19,0.029506956002891136,0.6770630279402207,0.48279615202747245
Christopher Plummer,19,0.029149603196028842,0.6874593892137751,0.489966398269997
Christopher Walken,19,0.026479506498438717,0.6198830409356723,0.44186193087949255
Gene Hackman,19,0.023924917227302868,0.6634178037686809,0.47156988473806805
Tom Hanks,18,0.05979536401601705,0.6968449931412892,0.5057299496997424
Robert Downey Jr.,18,0.05523186896721708,0.6714677640603566,0.4865968466813101
Mark Wahlberg,18,0.05243490203089075,0.6563786008230452,0.47519534582203987
Brian Cox,18,0.037403570110778356,0.707818930041152,0.5066941670631184
John Leguizamo,18,0.035297551900018216,0.5905349794238681,0.42396362147525746
Michael Shannon,18,0.035132988687816925,0.6700960219478734,0.47960696525697283
Allison Janney,18,0.03214101270884568,0.6687242798353907,0.47774915355285247
Steve Buscemi,18,0.031240404110422844,0.6323731138545952,0.45203316265335
Julianne Moore,18,0.028296528335111013,0.6248285322359393,0.44586879467339186
Stanley Tucci,17,0.09905663594131665,0.6332607116920843,0.47299909565452175
Bradley Cooper,17,0.09049535973848308,0.6797385620915031,0.5029651831556025
Cate Blanchett,17,0.045377545862783246,0.7429193899782134,0.5336563929929674
Cheech Marin,17,0.03748948231674947,0.6761074800290484,0.4845216778216685
Carla Gugino,17,0.036124802774580175,0.6114742193173565,0.4388690294223216
Harrison Ford,17,0.035629173878325184,0.6659404502541757,0.47684667082971904
Catherine Keener,17,0.03437856703595964,0.6615831517792301,0.47342138269277295
Colleen Camp,17,0.032563103618602374,0.5744371822803194,0.41187461619623217
Philip Seymour Hoffman,17,0.03205257989763995,0.7007988380537398,0.5001745446974113
Julia Roberts,17,0.03189073014723552,0.6049382716049383,0.43302364909602714
John Cusack,17,0.03090453429340714,0.6303558460421204,0.45052007789712306
Kevin Dunn,17,0.030106522394059955,0.635439360929557,0.45383913198863574
Ethan Hawke,17,0.029199745468710032,0.6848220769789395,0.48813497162762287
Ray Liotta,17,0.027947266124734218,0.6673928830791575,0.4755588025520285
Ewan McGregor,16,0.0975633517946907,0.6743827160493826,0.5013357735889831
Ben Affleck,16,0.0698402708945295,0.6604938271604937,0.48329666787103365
Johnny Depp,16,0.051834570492696734,0.7021604938271603,0.5070615707006417
Colin Farrell,16,0.042906736498031964,0.6952160493827158,0.49952212643275873
Arnold Schwarzenegger,16,0.03936741567146097,0.5895061728395061,0.4244635862615663
Peter Stormare,16,0.03836013454130489,0.6504629629629628,0.4668310592444941
Brendan Gleeson,16,0.03747315749282867,0.6959876543209876,0.4984321786516291
Jason Bateman,16,0.03505585949728155,0.6612654320987653,0.4734014902750104
James Woods,16,0.03403002179476789,0.6543209876543209,0.4682326395364505
Keanu Reeves,16,0.03361004104718071,0.6273148148148148,0.44920236733920393
John Hurt,16,0.03281981809360717,0.7052469135802468,0.5035176468185109
Robin Williams,16,0.0321807596107166,0.6458333333333333,0.4617365175399193
Meryl Streep,16,0.02888991239113365,0.7260802469135802,0.5169219781428978
Vince Vaughn,16,0.02785312855850947,0.6234567901234566,0.44477468631666944
Danny DeVito,16,0.026370531381033947,0.6280864197530863,0.4475706415843877
David Koechner,16,0.025430403733225797,0.6157407407407408,0.43864664815256815
Dennis Hopper,16,0.02383865552083074,0.6288580246913579,0.44735120277912077
Kurt Russell,15,0.07964956922265641,0.6979423868312756,0.5124513929385109
Gary Oldman,15,0.06896345615877818,0.6633744855967076,0.48504819652620773
Woody Harrelson,15,0.06762020914225778,0.662551440329218,0.4840690967498058
Steve Zahn,15,0.0607826363375648,0.6559670781893003,0.4774088123326573
Philip Ettington,15,0.05337865411670439,0.7728395061728396,0.556997828243062
Brad Pitt,15,0.052670253665208853,0.6930041152263372,0.5009008791166293
Tom Cruise,15,0.04549280039834013,0.6971193415637859,0.5016282971033723
Kirsten Dunst,15,0.04249995751137396,0.6699588477366252,0.48171822089000615
Chris Cooper,15,0.04244630591700751,0.7242798353909463,0.5197265832382716
Russell Crowe,15,0.0401526994455503,0.6995884773662548,0.5017546611028564
Elizabeth Banks,15,0.039138272735733434,0.6452674897119339,0.463425877232074
Dwayne Johnson,15,0.037697457491060876,0.6032921810699589,0.43361109979761353
Tom Wilkinson,15,0.03743769283485853,0.7201646090534978,0.5153433678088193
Sean Connery,15,0.036291771979336085,0.6888888888888888,0.49310672406359746
Patrick Stewart,15,0.03424180177637804,0.65679012345679,0.4700227390331469
Donald Sutherland,15,0.03354324025872271,0.6576131687242799,0.4703893000128647
Dan Aykroyd,15,0.03309207382856156,0.5588477366255143,0.40111857322873573
Jonah Hill,15,0.03283685336079603,0.6765432098765429,0.4834283326354855
Charlie Sheen,15,0.032182296436447204,0.6189300411522632,0.44290299644745634
Hugh Jackman,15,0.031840820402488895,0.6855967078189298,0.4894669342052138
James Remar,15,0.03139244036284729,0.62798353909465,0.4490034507025606
Harvey Keitel,15,0.030424873101391137,0.6633744855967076,0.4734866926453266
Eddie Murphy,15,0.029494480457679342,0.5465020576131685,0.3913973796379067
Dan Hedaya,15,0.029004412014751613,0.6485596707818928,0.46269025028459887
Sean Penn,15,0.028359666406345952,0.6954732510288064,0.49533613219168576
Ben Stiller,15,0.027695837063170956,0.6419753086419752,0.45768865503204564
James Earl Jones,15,0.027032396459302988,0.6691358024691358,0.47650185293761477
Oliver Platt,15,0.027011669807784716,0.6304526748971192,0.44941761205307507
Justin Long,15,0.026813395819127093,0.5728395061728394,0.4090291599047085
Whoopi Goldberg,15,0.026575548633179957,0.6090534979423868,0.4343074446724581
Kathy Bates,15,0.022313002868670974,0.6074074074074073,0.43187643250527463
Ian McKellen,14,0.11083392816000733,0.7248677248677245,0.5406485561049926
Kevin Spacey,14,0.08639439958740415,0.6975308641975306,0.5141813371116484
Scarlett Johansson,14,0.060194491669584065,0.7451499118165782,0.5396542726282884
Aaron Eckhart,14,0.056628658283509,0.6613756613756612,0.47994354457453786
