,MoviesN,AvgPop,AvgIMDB,Score
Stan Lee,8,0.25792363529161466,0.7623456790123456,0.6069296063761879
Gino Corrado,6,0.02783433663931397,0.8497942386831275,0.5745986841005831
Joseph Oliveira,5,0.16321123235932644,0.8617283950617283,0.5744322896332374
Andy Serkis,10,0.11757549031300057,0.7666666666666666,0.5714182477656407
Philip Ettington,15,0.05337865411670436,0.7728395061728395,0.5569978282430619
Ian Holm,9,0.059085520045894735,0.7722908093278463,0.5569486847785745
Bess Flowers,9,0.027334866584596336,0.7777777777777777,0.5512784218317586
Jed Brophy,6,0.06392809665188953,0.7921810699588477,0.5464967089551954
Hugo Weaving,13,0.048547290162675914,0.7549857549857549,0.543029562034856
Michael Kelly,6,0.12760219800305939,0.7592592592592592,0.5427406738475318
Ian McKellen,14,0.11083392816000728,0.7248677248677248,0.5406485561049927
Helena Bonham Carter,9,0.06254090267604945,0.7462277091906722,0.5397836772713202
Scarlett Johansson,14,0.060194491669584044,0.7451499118165784,0.5396542726282885
Tom Hardy,8,0.05557314509053622,0.7515432098765431,0.5391196309412921
Orlando Bloom,9,0.0768610371943626,0.7366255144032922,0.5373641786132134
Mark Margolis,9,0.03637879991831323,0.7517146776406035,0.5357858340216084
Christian Bale,19,0.05915047731529571,0.7387914230019492,0.5348990791009919
Cate Blanchett,17,0.04537754586278324,0.7429193899782134,0.5336563929929674
John Ratzenberger,13,0.04919301284122045,0.7407407407407407,0.5332522127578797
Edward Norton,11,0.05939933372834016,0.734006734006734,0.5314462335731126
John Wayne,9,0.02467755840247801,0.7503429355281207,0.5313262961772585
Barbara Hershey,8,0.03276408353829933,0.75,0.5312496927882023
Gregg Henry,6,0.15918349476771632,0.728395061728395,0.5311854264952589
Cillian Murphy,11,0.07884588337634829,0.7239057239057238,0.5302099061384581
Michael Rooker,9,0.11190431258622215,0.7105624142661179,0.5296521074479367
Gregory Peck,6,0.02151371516719136,0.7839506172839505,0.528887774843845
Jake Gyllenhaal,8,0.04249135926514151,0.7422839506172839,0.5287832596342221
Leonardo DiCaprio,9,0.038300697268272885,0.7407407407407407,0.5286982158456733
